"raw_gene_id","gene_type","official_symbol","description","human_ortho","mouse_ortho","zebrafish_ortho","display_symbol"
"abhd6","Annotated_Symbol","abhd6","abhd6","ABHD6","Abhd6","abhd6","abhd6"
"abhd6b","Annotated_Symbol","abhd6b","abhd6b","ABHD6B","Abhd6b","abhd6b","abhd6b"
"abhd8b","Annotated_Symbol","abhd8b","abhd8b","ABHD8B","Abhd8b","abhd8b","abhd8b"
"abhea","Annotated_Symbol","abhea","abhea","ABHEA","Abhea","abhea","abhea"
"abi1","Annotated_Symbol","abi1","abi1","ABI1","Abi1","abi1","abi1"
"abi3b","Annotated_Symbol","abi3b","abi3b","ABI3B","Abi3b","abi3b","abi3b"
"abitram","Annotated_Symbol","abitram","abitram","ABITRAM","Abitram","abitram","abitram"
"ablim1a","Annotated_Symbol","ablim1a","ablim1a","ABLIM1A","Ablim1a","ablim1a","ablim1a"
"ablim1b","Annotated_Symbol","ablim1b","ablim1b","ABLIM1B","Ablim1b","ablim1b","ablim1b"
"abr","Annotated_Symbol","abr","abr","ABR","Abr","abr","abr"
"abraa","Annotated_Symbol","abraa","abraa","ABRAA","Abraa","abraa","abraa"
"abrab","Annotated_Symbol","abrab","abrab","ABRAB","Abrab","abrab","abrab"
"abracl","Annotated_Symbol","abracl","abracl","ABRACL","Abracl","abracl","abracl"
"abraxas1","Annotated_Symbol","abraxas1","abraxas1","ABRAXAS1","Abraxas1","abraxas1","abraxas1"
"abraxas2","Annotated_Symbol","abraxas2","abraxas2","ABRAXAS2","Abraxas2","abraxas2","abraxas2"
"abt1","Annotated_Symbol","abt1","abt1","ABT1","Abt1","abt1","abt1"
"abtb1","Annotated_Symbol","abtb1","abtb1","ABTB1","Abtb1","abtb1","abtb1"
"abtb2b","Annotated_Symbol","abtb2b","abtb2b","ABTB2B","Abtb2b","abtb2b","abtb2b"
"acaa1","Annotated_Symbol","acaa1","acaa1","ACAA1","Acaa1","acaa1","acaa1"
"acaa2","Annotated_Symbol","acaa2","acaa2","ACAA2","Acaa2","acaa2","acaa2"
"acaca","Annotated_Symbol","acaca","acaca","ACACA","Acaca","acaca","acaca"
"acad11","Annotated_Symbol","acad11","acad11","ACAD11","Acad11","acad11","acad11"
"acad8","Annotated_Symbol","acad8","acad8","ACAD8","Acad8","acad8","acad8"
"acad9","Annotated_Symbol","acad9","acad9","ACAD9","Acad9","acad9","acad9"
"acadm","Annotated_Symbol","acadm","acadm","ACADM","Acadm","acadm","acadm"
"acadsb","Annotated_Symbol","acadsb","acadsb","ACADSB","Acadsb","acadsb","acadsb"
"acadvl","Annotated_Symbol","acadvl","acadvl","ACADVL","Acadvl","acadvl","acadvl"
"acap1","Annotated_Symbol","acap1","acap1","ACAP1","Acap1","acap1","acap1"
"acap3a","Annotated_Symbol","acap3a","acap3a","ACAP3A","Acap3a","acap3a","acap3a"
"acat1","Annotated_Symbol","acat1","acat1","ACAT1","Acat1","acat1","acat1"
"acat2","Annotated_Symbol","acat2","acat2","ACAT2","Acat2","acat2","acat2"
"acbd3","Annotated_Symbol","acbd3","acbd3","ACBD3","Acbd3","acbd3","acbd3"
"acbd4","Annotated_Symbol","acbd4","acbd4","ACBD4","Acbd4","acbd4","acbd4"
"acbd6","Annotated_Symbol","acbd6","acbd6","ACBD6","Acbd6","acbd6","acbd6"
"acbd7","Annotated_Symbol","acbd7","acbd7","ACBD7","Acbd7","acbd7","acbd7"
"accs","Annotated_Symbol","accs","accs","ACCS","Accs","accs","accs"
"acd","Annotated_Symbol","acd","acd","ACD","Acd","acd","acd"
"acd10","Annotated_Symbol","acd10","acd10","ACD10","Acd10","acd10","acd10"
"acer1","Annotated_Symbol","acer1","acer1","ACER1","Acer1","acer1","acer1"
"acer2","Annotated_Symbol","acer2","acer2","ACER2","Acer2","acer2","acer2"
"ache","Annotated_Symbol","ache","ache","ACHE","Ache","ache","ache"
"acin1a","Annotated_Symbol","acin1a","acin1a","ACIN1A","Acin1a","acin1a","acin1a"
"acin1b","Annotated_Symbol","acin1b","acin1b","ACIN1B","Acin1b","acin1b","acin1b"
"ackr3b","Annotated_Symbol","ackr3b","ackr3b","ACKR3B","Ackr3b","ackr3b","ackr3b"
"ackr4b","Annotated_Symbol","ackr4b","ackr4b","ACKR4B","Ackr4b","ackr4b","ackr4b"
"acmsd","Annotated_Symbol","acmsd","acmsd","ACMSD","Acmsd","acmsd","acmsd"
"aco1","Annotated_Symbol","aco1","aco1","ACO1","Aco1","aco1","aco1"
"acod","Annotated_Symbol","acod","acod","ACOD","Acod","acod","acod"
"acod1","Annotated_Symbol","acod1","acod1","ACOD1","Acod1","acod1","acod1"
"acot11a","Annotated_Symbol","acot11a","acot11a","ACOT11A","Acot11a","acot11a","acot11a"
"acot11b","Annotated_Symbol","acot11b","acot11b","ACOT11B","Acot11b","acot11b","acot11b"
"acot13","Annotated_Symbol","acot13","acot13","ACOT13","Acot13","acot13","acot13"
"acot5","Annotated_Symbol","acot5","acot5","ACOT5","Acot5","acot5","acot5"
"acot7","Annotated_Symbol","acot7","acot7","ACOT7","Acot7","acot7","acot7"
"acot8","Annotated_Symbol","acot8","acot8","ACOT8","Acot8","acot8","acot8"
"acox3","Annotated_Symbol","acox3","acox3","ACOX3","Acox3","acox3","acox3"
"acoxl","Annotated_Symbol","acoxl","acoxl","ACOXL","Acoxl","acoxl","acoxl"
"acp1","Annotated_Symbol","acp1","acp1","ACP1","Acp1","acp1","acp1"
"acp5b","Annotated_Symbol","acp5b","acp5b","ACP5B","Acp5b","acp5b","acp5b"
"acp7","Annotated_Symbol","acp7","acp7","ACP7","Acp7","acp7","acp7"
"acpl2","Annotated_Symbol","acpl2","acpl2","ACPL2","Acpl2","acpl2","acpl2"
"acsf2","Annotated_Symbol","acsf2","acsf2","ACSF2","Acsf2","acsf2","acsf2"
"acsf3","Annotated_Symbol","acsf3","acsf3","ACSF3","Acsf3","acsf3","acsf3"
"acsl1a","Annotated_Symbol","acsl1a","acsl1a","ACSL1A","Acsl1a","acsl1a","acsl1a"
"acsl2","Annotated_Symbol","acsl2","acsl2","ACSL2","Acsl2","acsl2","acsl2"
"acsl4","Annotated_Symbol","acsl4","acsl4","ACSL4","Acsl4","acsl4","acsl4"
"acsl5","Annotated_Symbol","acsl5","acsl5","ACSL5","Acsl5","acsl5","acsl5"
"acsm3","Annotated_Symbol","acsm3","acsm3","ACSM3","Acsm3","acsm3","acsm3"
"acss1","Annotated_Symbol","acss1","acss1","ACSS1","Acss1","acss1","acss1"
"acss2l","Annotated_Symbol","acss2l","acss2l","ACSS2L","Acss2l","acss2l","acss2l"
"acta2","Annotated_Symbol","acta2","acta2","ACTA2","Acta2","acta2","acta2"
"actc1a","Annotated_Symbol","actc1a","actc1a","ACTC1A","Actc1a","actc1a","actc1a"
"actc2","Annotated_Symbol","actc2","actc2","ACTC2","Actc2","actc2","actc2"
"acte1","Annotated_Symbol","acte1","acte1","ACTE1","Acte1","acte1","acte1"
"actl6a","Annotated_Symbol","actl6a","actl6a","ACTL6A","Actl6a","actl6a","actl6a"
"actn1","Annotated_Symbol","actn1","actn1","ACTN1","Actn1","actn1","actn1"
"actn3b","Annotated_Symbol","actn3b","actn3b","ACTN3B","Actn3b","actn3b","actn3b"
"actr1b","Annotated_Symbol","actr1b","actr1b","ACTR1B","Actr1b","actr1b","actr1b"
"actr2a","Annotated_Symbol","actr2a","actr2a","ACTR2A","Actr2a","actr2a","actr2a"
"actr3b","Annotated_Symbol","actr3b","actr3b","ACTR3B","Actr3b","actr3b","actr3b"
"actr5","Annotated_Symbol","actr5","actr5","ACTR5","Actr5","actr5","actr5"
"actr6","Annotated_Symbol","actr6","actr6","ACTR6","Actr6","actr6","actr6"
"actr8","Annotated_Symbol","actr8","actr8","ACTR8","Actr8","actr8","actr8"
"acty","Annotated_Symbol","acty","acty","ACTY","Acty","acty","acty"
"acv1b","Annotated_Symbol","acv1b","acv1b","ACV1B","Acv1b","acv1b","acv1b"
"acvr1l","Annotated_Symbol","acvr1l","acvr1l","ACVR1L","Acvr1l","acvr1l","acvr1l"
"acvrl1","Annotated_Symbol","acvrl1","acvrl1","ACVRL1","Acvrl1","acvrl1","acvrl1"
"acy1","Annotated_Symbol","acy1","acy1","ACY1","Acy1","acy1","acy1"
"acy3","Annotated_Symbol","acy3","acy3","ACY3","Acy3","acy3","acy3"
"acyp1","Annotated_Symbol","acyp1","acyp1","ACYP1","Acyp1","acyp1","acyp1"
"acyp2","Annotated_Symbol","acyp2","acyp2","ACYP2","Acyp2","acyp2","acyp2"
"ada2","Annotated_Symbol","ada2","ada2","ADA2","Ada2","ada2","ada2"
"ada2b","Annotated_Symbol","ada2b","ada2b","ADA2B","Ada2b","ada2b","ada2b"
"adad1","Annotated_Symbol","adad1","adad1","ADAD1","Adad1","adad1","adad1"
"adad2","Annotated_Symbol","adad2","adad2","ADAD2","Adad2","adad2","adad2"
"adal","Annotated_Symbol","adal","adal","ADAL","Adal","adal","adal"
"adam10a","Annotated_Symbol","adam10a","adam10a","ADAM10A","Adam10a","adam10a","adam10a"
"adam12b","Annotated_Symbol","adam12b","adam12b","ADAM12B","Adam12b","adam12b","adam12b"
"adam15","Annotated_Symbol","adam15","adam15","ADAM15","Adam15","adam15","adam15"
"adam17b","Annotated_Symbol","adam17b","adam17b","ADAM17B","Adam17b","adam17b","adam17b"
"adam19a","Annotated_Symbol","adam19a","adam19a","ADAM19A","Adam19a","adam19a","adam19a"
"adam28","Annotated_Symbol","adam28","adam28","ADAM28","Adam28","adam28","adam28"
"adam9","Annotated_Symbol","adam9","adam9","ADAM9","Adam9","adam9","adam9"
"adamts1","Annotated_Symbol","adamts1","adamts1","ADAMTS1","Adamts1","adamts1","adamts1"
"adamts12","Annotated_Symbol","adamts12","adamts12","ADAMTS12","Adamts12","adamts12","adamts12"
"adamts13","Annotated_Symbol","adamts13","adamts13","ADAMTS13","Adamts13","adamts13","adamts13"
"adamts15a","Annotated_Symbol","adamts15a","adamts15a","ADAMTS15A","Adamts15a","adamts15a","adamts15a"
"adamts18","Annotated_Symbol","adamts18","adamts18","ADAMTS18","Adamts18","adamts18","adamts18"
"adamts2a","Annotated_Symbol","adamts2a","adamts2a","ADAMTS2A","Adamts2a","adamts2a","adamts2a"
"adamts3","Annotated_Symbol","adamts3","adamts3","ADAMTS3","Adamts3","adamts3","adamts3"
"adamts9","Annotated_Symbol","adamts9","adamts9","ADAMTS9","Adamts9","adamts9","adamts9"
"adamtsl2","Annotated_Symbol","adamtsl2","adamtsl2","ADAMTSL2","Adamtsl2","adamtsl2","adamtsl2"
"adamtsl5","Annotated_Symbol","adamtsl5","adamtsl5","ADAMTSL5","Adamtsl5","adamtsl5","adamtsl5"
"adamtsl7","Annotated_Symbol","adamtsl7","adamtsl7","ADAMTSL7","Adamtsl7","adamtsl7","adamtsl7"
"adarb1b","Annotated_Symbol","adarb1b","adarb1b","ADARB1B","Adarb1b","adarb1b","adarb1b"
"adarb2","Annotated_Symbol","adarb2","adarb2","ADARB2","Adarb2","adarb2","adarb2"
"adat1","Annotated_Symbol","adat1","adat1","ADAT1","Adat1","adat1","adat1"
"adat2","Annotated_Symbol","adat2","adat2","ADAT2","Adat2","adat2","adat2"
"adat3","Annotated_Symbol","adat3","adat3","ADAT3","Adat3","adat3","adat3"
"adb4c","Annotated_Symbol","adb4c","adb4c","ADB4C","Adb4c","adb4c","adb4c"
"adck1","Annotated_Symbol","adck1","adck1","ADCK1","Adck1","adck1","adck1"
"adck2","Annotated_Symbol","adck2","adck2","ADCK2","Adck2","adck2","adck2"
"adcy1a","Annotated_Symbol","adcy1a","adcy1a","ADCY1A","Adcy1a","adcy1a","adcy1a"
"adcy6a","Annotated_Symbol","adcy6a","adcy6a","ADCY6A","Adcy6a","adcy6a","adcy6a"
"adcy8","Annotated_Symbol","adcy8","adcy8","ADCY8","Adcy8","adcy8","adcy8"
"adcyap1r1b","Annotated_Symbol","adcyap1r1b","adcyap1r1b","ADCYAP1R1B","Adcyap1r1b","adcyap1r1b","adcyap1r1b"
"addb","Annotated_Symbol","addb","addb","ADDB","Addb","addb","addb"
"adf1","Annotated_Symbol","adf1","adf1","ADF1","Adf1","adf1","adf1"
"adgb","Annotated_Symbol","adgb","adgb","ADGB","Adgb","adgb","adgb"
"adgra1a","Annotated_Symbol","adgra1a","adgra1a","ADGRA1A","Adgra1a","adgra1a","adgra1a"
"adgra2","Annotated_Symbol","adgra2","adgra2","ADGRA2","Adgra2","adgra2","adgra2"
"adgrd2","Annotated_Symbol","adgrd2","adgrd2","ADGRD2","Adgrd2","adgrd2","adgrd2"
"adgrf3a","Annotated_Symbol","adgrf3a","adgrf3a","ADGRF3A","Adgrf3a","adgrf3a","adgrf3a"
"adgrl1a","Annotated_Symbol","adgrl1a","adgrl1a","ADGRL1A","Adgrl1a","adgrl1a","adgrl1a"
"adgrl2a","Annotated_Symbol","adgrl2a","adgrl2a","ADGRL2A","Adgrl2a","adgrl2a","adgrl2a"
"adgrl4","Annotated_Symbol","adgrl4","adgrl4","ADGRL4","Adgrl4","adgrl4","adgrl4"
"adgrv1","Annotated_Symbol","adgrv1","adgrv1","ADGRV1","Adgrv1","adgrv1","adgrv1"
"adhfe1","Annotated_Symbol","adhfe1","adhfe1","ADHFE1","Adhfe1","adhfe1","adhfe1"
"adhx","Annotated_Symbol","adhx","adhx","ADHX","Adhx","adhx","adhx"
"adi1","Annotated_Symbol","adi1","adi1","ADI1","Adi1","adi1","adi1"
"adipoqa","Annotated_Symbol","adipoqa","adipoqa","ADIPOQA","Adipoqa","adipoqa","adipoqa"
"adipoqb","Annotated_Symbol","adipoqb","adipoqb","ADIPOQB","Adipoqb","adipoqb","adipoqb"
"adkb","Annotated_Symbol","adkb","adkb","ADKB","Adkb","adkb","adkb"
"adm2b","Annotated_Symbol","adm2b","adm2b","ADM2B","Adm2b","adm2b","adm2b"
"adnpb","Annotated_Symbol","adnpb","adnpb","ADNPB","Adnpb","adnpb","adnpb"
"adora1b","Annotated_Symbol","adora1b","adora1b","ADORA1B","Adora1b","adora1b","adora1b"
"adora2aa","Annotated_Symbol","adora2aa","adora2aa","ADORA2AA","Adora2aa","adora2aa","adora2aa"
"adora2b","Annotated_Symbol","adora2b","adora2b","ADORA2B","Adora2b","adora2b","adora2b"
"adpgk","Annotated_Symbol","adpgk","adpgk","ADPGK","Adpgk","adpgk","adpgk"
"adprh","Annotated_Symbol","adprh","adprh","ADPRH","Adprh","adprh","adprh"
"adprm","Annotated_Symbol","adprm","adprm","ADPRM","Adprm","adprm","adprm"
"adprs","Annotated_Symbol","adprs","adprs","ADPRS","Adprs","adprs","adprs"
"adr1","Annotated_Symbol","adr1","adr1","ADR1","Adr1","adr1","adr1"
"adra1ab","Annotated_Symbol","adra1ab","adra1ab","ADRA1AB","Adra1ab","adra1ab","adra1ab"
"adra2b","Annotated_Symbol","adra2b","adra2b","ADRA2B","Adra2b","adra2b","adra2b"
"adra2c","Annotated_Symbol","adra2c","adra2c","ADRA2C","Adra2c","adra2c","adra2c"
"adrb2a","Annotated_Symbol","adrb2a","adrb2a","ADRB2A","Adrb2a","adrb2a","adrb2a"
"adrm1","Annotated_Symbol","adrm1","adrm1","ADRM1","Adrm1","adrm1","adrm1"
"adss1","Annotated_Symbol","adss1","adss1","ADSS1","Adss1","adss1","adss1"
"adss2","Annotated_Symbol","adss2","adss2","ADSS2","Adss2","adss2","adss2"
"adssl1","Annotated_Symbol","adssl1","adssl1","ADSSL1","Adssl1","adssl1","adssl1"
"adtrp1","Annotated_Symbol","adtrp1","adtrp1","ADTRP1","Adtrp1","adtrp1","adtrp1"
"aedo","Annotated_Symbol","aedo","aedo","AEDO","Aedo","aedo","aedo"
"afap1","Annotated_Symbol","afap1","afap1","AFAP1","Afap1","afap1","afap1"
"afap1l1b","Annotated_Symbol","afap1l1b","afap1l1b","AFAP1L1B","Afap1l1b","afap1l1b","afap1l1b"
"afap1l2","Annotated_Symbol","afap1l2","afap1l2","AFAP1L2","Afap1l2","afap1l2","afap1l2"
"afdna","Annotated_Symbol","afdna","afdna","AFDNA","Afdna","afdna","afdna"
"aff3","Annotated_Symbol","aff3","aff3","AFF3","Aff3","aff3","aff3"
"aff4","Annotated_Symbol","aff4","aff4","AFF4","Aff4","aff4","aff4"
"afg1lb","Annotated_Symbol","afg1lb","afg1lb","AFG1LB","Afg1lb","afg1lb","afg1lb"
"afg3l2","Annotated_Symbol","afg3l2","afg3l2","AFG3L2","Afg3l2","afg3l2","afg3l2"
"afmid","Annotated_Symbol","afmid","afmid","AFMID","Afmid","afmid","afmid"
"afp4","Annotated_Symbol","afp4","afp4","AFP4","Afp4","afp4","afp4"
"aga","Annotated_Symbol","aga","aga","AGA","Aga","aga","aga"
"agap1","Annotated_Symbol","agap1","agap1","AGAP1","Agap1","agap1","agap1"
"agbl2","Annotated_Symbol","agbl2","agbl2","AGBL2","Agbl2","agbl2","agbl2"
"agbl5","Annotated_Symbol","agbl5","agbl5","AGBL5","Agbl5","agbl5","agbl5"
"agfg1b","Annotated_Symbol","agfg1b","agfg1b","AGFG1B","Agfg1b","agfg1b","agfg1b"
"aggf1","Annotated_Symbol","aggf1","aggf1","AGGF1","Aggf1","aggf1","aggf1"
"agk","Annotated_Symbol","agk","agk","AGK","Agk","agk","agk"
"agmat","Annotated_Symbol","agmat","agmat","AGMAT","Agmat","agmat","agmat"
"ago-02","Annotated_Symbol","ago-02","ago-02","AGO-02","Ago-02","ago-02","ago-02"
"ago-04","Annotated_Symbol","ago-04","ago-04","AGO-04","Ago-04","ago-04","ago-04"
"agpat2","Annotated_Symbol","agpat2","agpat2","AGPAT2","Agpat2","agpat2","agpat2"
"agpat4","Annotated_Symbol","agpat4","agpat4","AGPAT4","Agpat4","agpat4","agpat4"
"agpat9l","Annotated_Symbol","agpat9l","agpat9l","AGPAT9L","Agpat9l","agpat9l","agpat9l"
"agps","Annotated_Symbol","agps","agps","AGPS","Agps","agps","agps"
"agr2","Annotated_Symbol","agr2","agr2","AGR2","Agr2","agr2","agr2"
"agrn","Annotated_Symbol","agrn","agrn","AGRN","Agrn","agrn","agrn"
"agrp","Annotated_Symbol","agrp","agrp","AGRP","Agrp","agrp","agrp"
"agt","Annotated_Symbol","agt","agt","AGT","Agt","agt","agt"
"agtpbp1","Annotated_Symbol","agtpbp1","agtpbp1","AGTPBP1","Agtpbp1","agtpbp1","agtpbp1"
"agtr2","Annotated_Symbol","agtr2","agtr2","AGTR2","Agtr2","agtr2","agtr2"
"agxt2","Annotated_Symbol","agxt2","agxt2","AGXT2","Agxt2","agxt2","agxt2"
"agxtb","Annotated_Symbol","agxtb","agxtb","AGXTB","Agxtb","agxtb","agxtb"
"ahcy","Annotated_Symbol","ahcy","ahcy","AHCY","Ahcy","ahcy","ahcy"
"ahdc1","Annotated_Symbol","ahdc1","ahdc1","AHDC1","Ahdc1","ahdc1","ahdc1"
"ahi1","Annotated_Symbol","ahi1","ahi1","AHI1","Ahi1","ahi1","ahi1"
"ahnak","Annotated_Symbol","ahnak","ahnak","AHNAK","Ahnak","ahnak","ahnak"
"ahr1","Annotated_Symbol","ahr1","ahr1","AHR1","Ahr1","ahr1","ahr1"
"ahr1a","Annotated_Symbol","ahr1a","ahr1a","AHR1A","Ahr1a","ahr1a","ahr1a"
"ahr1b","Annotated_Symbol","ahr1b","ahr1b","AHR1B","Ahr1b","ahr1b","ahr1b"
"ahr2a","Annotated_Symbol","ahr2a","ahr2a","AHR2A","Ahr2a","ahr2a","ahr2a"
"ahr2b","Annotated_Symbol","ahr2b","ahr2b","AHR2B","Ahr2b","ahr2b","ahr2b"
"ahr2d","Annotated_Symbol","ahr2d","ahr2d","AHR2D","Ahr2d","ahr2d","ahr2d"
"ahr2g","Annotated_Symbol","ahr2g","ahr2g","AHR2G","Ahr2g","ahr2g","ahr2g"
"ahsa1a","Annotated_Symbol","ahsa1a","ahsa1a","AHSA1A","Ahsa1a","ahsa1a","ahsa1a"
"ahsg1","Annotated_Symbol","ahsg1","ahsg1","AHSG1","Ahsg1","ahsg1","ahsg1"
"ahsg2","Annotated_Symbol","ahsg2","ahsg2","AHSG2","Ahsg2","ahsg2","ahsg2"
"aida","Annotated_Symbol","aida","aida","AIDA","Aida","aida","aida"
"aidb","Annotated_Symbol","aidb","aidb","AIDB","Aidb","aidb","aidb"
"aif1","Annotated_Symbol","aif1","aif1","AIF1","Aif1","aif1","aif1"
"aif1l","Annotated_Symbol","aif1l","aif1l","AIF1L","Aif1l","aif1l","aif1l"
"aifm1","Annotated_Symbol","aifm1","aifm1","AIFM1","Aifm1","aifm1","aifm1"
"aifm2","Annotated_Symbol","aifm2","aifm2","AIFM2","Aifm2","aifm2","aifm2"
"aifm4","Annotated_Symbol","aifm4","aifm4","AIFM4","Aifm4","aifm4","aifm4"
"aifm5","Annotated_Symbol","aifm5","aifm5","AIFM5","Aifm5","aifm5","aifm5"
"aig1","Annotated_Symbol","aig1","aig1","AIG1","Aig1","aig1","aig1"
"aimp1a","Annotated_Symbol","aimp1a","aimp1a","AIMP1A","Aimp1a","aimp1a","aimp1a"
"aimp1b","Annotated_Symbol","aimp1b","aimp1b","AIMP1B","Aimp1b","aimp1b","aimp1b"
"aip","Annotated_Symbol","aip","aip","AIP","Aip","aip","aip"
"aipl1","Annotated_Symbol","aipl1","aipl1","AIPL1","Aipl1","aipl1","aipl1"
"aire","Annotated_Symbol","aire","aire","AIRE","Aire","aire","aire"
